金泰熙	金东	韩国 梦想 演唱会 第十届 2004 年 : MC : 金泰熙 ， 金东 万	0
辛文山	林散之	林散之 先生 等 当代 名家 对 辛文山 先生 的 书法 均 有 精辟 的 点评 ， 对 书法 爱好者 自学 书法 有 较 高 的 参考价值 。	0
巴涅尔	吉莱斯	吉莱斯 · 勒华 人物 生平 : 吉莱斯 · 勒华 1958 年 12 月 28 日 生于 巴黎 南郊 的 巴涅尔 。	0
张铭	张克明	（ 原 重庆 警备区 顾问 ） : 张铭 （ 1920 — ) ， 原名 张克明 ， 张陶乡 小张庄 人 。	0
张育贤	李菊生	中国 工艺美术 大师 张育贤 先生 ， 景德镇市 美术家 协会主席 、 景德镇陶瓷学院 教授 李菊生 称其为 “ 昔日 翩翩 学子 ， 今具 大家风范 。 ”	0
王梓	尹红	03 章 尹红 妹要 给 王梓 明 解闷	0
阮征	李汴生	3 、 李汴生 ， 阮征 ， 《 非热 杀菌 技术 与 应用 》 ， 化学工业 出版社 ， 2004 ， 北京 .	0
夏越	秦臻	三年 后 , 秦臻 嫁给 了 香港 鼎鼎有名 的 夏越 集团 执行主席 。	0
黄冠华	黄权中	（ 9 ） 黄权中 , 黄冠华 . 基于 R - L 定义 的 分数 微分 对流 － 弥散 方程 有限元 解 . 武汉大学 学报 , 2009 , 42 ( 6 ) : 695 - 700	0
孙军	卫立煌	卫立x煌 奉令 后 率部 赶往 龙潭 ， 于 26 日晨 将 孙军 逐出 龙潭 车站 。	0
杨洪吉	杨洪文	上个世纪 50 年代 初 ， 本村 戏剧 爱好者 杨洪文 、 杨洪吉 等 人 自发 办起 京剧团 ， 他们 不仅 三月 三 在 庙会 上 唱 ， 而且 还 到 外村 巡回演出 。	0
孟庆秀	周久耕	6 月 20 日 ， 网友 “ tianjiacan ” 在 天涯 杂谈 发帖 《 江苏 有 “ 天价 烟 局长 ” 周久耕 ， 山东 惊现 “ 天价 餐 粮食 局长 ” 孟庆秀 ！	0
雍姬	霍光	创作 了 大型 历史剧 《 雍姬 怨 》 、 《 汉文 皇后 》 、 《 霍光 废帝 》 等 。	0
杨忠武	杨志	4 与 杨家将 : 代县 杨忠武 祠中 存放 的 《 杨 氏族谱 》 ， 是 以 杨六郎 一支 为主 的 杨 氏族谱 ， 谱 中 没有 杨志 的 记载 。	0
任彭年	李法西	《 恶邻 》 是 由 任彭年 导演 ， 李法西 编剧 的 剧情片 ， 于 1933 年 上映 。	0
马备	海皇	海皇 纪 ( 29 ) 内容 介绍 : 海盗 ‧ 吉科 向 风 ‧ 刚 马备 前 开出 要 兵力 的 条件 ， 是 对 大长老 的 孙女 ‧ 亚格娜 抢婚 。	0
袁宗第	冯启	袁宗第 虽然 据险 拼杀 ， 终因 寡不敌众 ， 将士 阵亡 和 跳 崖 跌死 的 多达 二千 五六百 人 ， 被俘 三百余名 ， 部下 新化 伯 冯启 凤缴 印 投降 。	0
费尔南多	爱上了你	“ 伊萨贝尔 公主 ， 我 知道 费尔南多 王子 已经 爱上了你 ， 我能 以 他 的 名义 吻 你 吗 ？ ”	0
李尚	江波	玉沟 春水 鸭 江波 — — 朝鲜 诗人 李尚 迪 与 清朝 文士 交往 研究	0
韩寒	穆凝婉	她 在 网络 上 被 称为 新 时代 的 “ 韩寒 ” 或 MNW ， 在 天涯 文学 、 新浪 文学 、 榕树下 使用 ID ： 穆凝婉 （ MNW ） 。	0
方芳	周红梅	〔 6 〕 周红梅 , 方芳 . 航运 集装箱 空箱 调运 优化 模型 的 研究 . 武汉理工大学 学报 ( 交通 科学 与 工程版 )	0
刘长林	任红军	刘长林 ， 烈士 ， 1930 年 参加 革命 ， 任红军 战士 ， 无 音讯 。	0
李义	曾巩	宋 曾巩 《 李义 内殿 崇班制 》 ： “ 虞度 营屯 之事 ， 积 纍 岁月 之勤 。 ”	0
王敬	法律硕士	王敬 ： 贵州大学 法学院 法律硕士 ， 研究生 ， 国际法 方向 。	0
方一藻	陈士章	保定 知府 方一藻 和 乡绅 陈士章 力持 不可 ， 有 致书 威胁 者 ， 陈 、 方 泰然自若 。	0
刘仪	朱雄	而 刘仪 的 “ 相州 之战 ” 的 基础 其实 也 是 由于 朱卷 和 朱雄 这个 讨论 《 分封 论 》 理论 当中 。	0
夏明	潘耀华	翻译 ： 夏明 箴 潘耀华	0
石虎	顾盼	宋 王安石 《 石虎 图 》 诗 ： “ 横行 妥尾 不畏 逐 ， 顾盼 欲 去 仍 踌躇 。 ”	0
秦王	李伯时	东坡 《 书林 次 中 所得 李伯时 归去来 阳关 二图 后 》 诗云 ： “ 两本 新图宝 墨香 ， 尊前 独唱 小 秦王 。	0
褚衍举	陈茗屋	初 师从 褚衍举 先生 ， 后 在 枣庄 受 海上 印 人 陈茗屋 教导 ， 又 到 中央美术学院 书法艺术 研究室 学习 ， 日夜 苦读 ， 手不停挥 ， 深得 篆刻 之 妙处 。	0
吴国一	金梁	【 梁州 】 单注 着 东 吴国一 员 骁将 ， 砍 折 俺 西蜀家 两条 金梁 。	0
龙天翔	沈仲元	1982.01 . 09 , 冲霄 楼 , 龙天翔 [ 饰 沈仲元 ] / 雨墨 , 邵氏	0
陈铁华	朱志	后勤保障 ： 陈铁华 朱志 鑫 陈家 宗钱 娜娜 魏茹	0
赵震	别忘了我	赵震 也 是 吃苦 过来 的 兄弟 ， 总 一句 话 ： 联盟 别忘了我 啊 ！	0
曾淑勤	甄妮	原唱 ： 曾淑勤 （ 被 甄妮 翻唱 而 红 ）	0
洪金	苏万聪	编导 ： 苏万聪 、 洪金 泼 、 黎继明 、 何南 铨	0
蒋川	庄玉明	第 21 局 庄玉明 负 蒋川	0
林仪	王大宝	士 林仪 表 王大宝 曾楚楠	0
陈从周	乔园	扩建 后 的 泰州 乔园 ， 正门 悬挂 陈从周 题 “ 淮 左 第一 园 ” 、 “ 吴陵 胜景 ” 匾额 各 一块 。	0
薛伯	侯国	薛伯 是 春秋时代 诸 侯国 薛国 君主 ，	0
元祐皇后	高宗	元祐皇后 再次 垂帘 与 南渡 之后 : 由于 汴京 已 不可 守 ， 孟氏 遂 随 高宗 南渡 至 杭州 。	0
梁启勋	万木草堂	梁启勋 ： 《 “ 万木草堂 ” 回忆 》 ， 中国人民政治协商会议 文史资料 研究 委员会 编 ： 《 文史资料 选辑 》 第 25 辑 ， 第 68 页 。	0
谢彦章	王彦章	是 月 ， 命 许州 节度使 王檀 、 河阳 节度使 谢彦章 、 汝州 防御 使 王彦章 率师 自阴 地关 抵 晋阳 ， 急攻 其垒 ， 不克 而 还 。	0
罗开	王寿椿	2008 年 4 月 ， 罗开 涛 、 边晓东 跟 师施 孝文 、 王寿椿 。	0
李宝初	李泽	李宝初 ( 1904 － 1950 ) ， 又名 李泽 金 ， 高 小 文化 ， 军人 出身 ， 广西 横县 平马乡 黄 塘村 人 。	0
容闳	孔子	二 、 电视剧 （ 6 部 ） ： 《 大清 商埠 》 、 《 过番 》 （ 《 下 南洋 》 ） 、 《 容闳 》 、 《 终结 于 2005 》 、 《 岁月 长歌 》 、 《 孔子 》	0
戴东	李源澄	与 李源澄 论 戴东 原书	0
东阿阿胶	徐海鹏	东阿阿胶 补血 冲剂 徐海鹏 其他 : 湖南省 金鹰节 、 桃花节 、 糖酒会 舞蹈 演出 ；	0
周雪	张亚雷	《 图说 环境保护 》 是 2010 年 同济大学 出版社 出版 的 图书 ， 作者 是 周雪 飞 ， 张亚雷 。	0
张映葵	石梁	康熙 五十一年 选授 张映葵 像 石梁 学博 ， 迁 天长 教谕 ， 卒 于 任 ， 年 七十一 。	0
张驰	张国朝	张国朝 （ 1955 - ） ， 又名 张驰 ， 号 危石 ， 汉族 ， 毕业 于 河南大学 。	0
黄埔军校	广告产业	实力 传播 一直 把 知识 分享 及 人才 发展 当作 企业 成长 的 内核 ， 因此 也 被 业内人士 答为 中国 广告产业 的 “ 黄埔军校 ” 。	0
周冠军	郭伟	2013 年 06 月 27 日 CCTV1 《 星光 大道 》 月 冠军 争霸赛 做 为 周冠军 郭伟 的 主演 嘉宾	0
经济发展战略	华镇	保 华镇 概况 : 在 县委 领导 下 ， 以 经济 建设 为 中心 ， 实施 “ 开放 强镇 、 富民 保 华镇 兴镇 ” 的 经济发展战略 ， 镇域 经济 取得 了 长足 的 发展 。	0
白钦	宋江	急使 指挥 白钦 引军 探时 ， 见 宋江 旗号 ， 遍天 遍地 ， 摆满 山林 。	0
丁惟汾	杜潜	杜潜 一到 烟台 ， 立刻 宣布 成立新 的 军政府 ， 并 与 丁惟汾 、 张传 一等 共同 主持 。	0
巫咸	巫医	夏桀有 知 ， 或许 他会 将 这里 真正 作为 瑶池 ， 以博 妹嬉 一笑 ； 若 巫咸 有知 ， 想 他 也许 将要 弃 巫医 以藉 神泉 神速 惠 天下 了 。	0
李劼	胡河清	纪念 胡河清 君 李劼 劼	0
吴乔	张丽君	钻杆 及其 接头 的 早期 失效 分析 与 措施 研究 张丽君 ， 吴乔 ， 史 乐乐 ，	0
陈宝国	高满堂	2014 年 ， 参演 由 高满堂 编剧 ， 陈宝国 、 冯远征 主演 的 反映 新 中国 60 年 农民 奋斗 历程 的 电视剧 《 老 农民 》 ， 饰演 麦花 。	0
